Temperature Anomaly,Month,Hemisphere,Year
-0.36,Jul,Global,1/1/1916
-0.48,Jun,Global,1/1/1916
-0.27,Mar,Global,1/1/1916
-0.33,May,Global,1/1/1916
-0.45,Nov,Global,1/1/1916
-0.32,Oct,Global,1/1/1916
-0.35,Sep,Global,1/1/1916
-0.54,Apr,Global,1/1/1917
-0.21,Aug,Global,1/1/1917
-0.66,Dec,Global,1/1/1917
-0.62,Feb,Global,1/1/1917
-0.57,Jan,Global,1/1/1917
-0.24,Jul,Global,1/1/1917
-0.42,Jun,Global,1/1/1917
-0.63,Mar,Global,1/1/1917
-0.54,May,Global,1/1/1917
-0.32,Nov,Global,1/1/1917
-0.43,Oct,Global,1/1/1917
-0.22,Sep,Global,1/1/1917
-0.43,Apr,Global,1/1/1918
-0.31,Aug,Global,1/1/1918
-0.29,Dec,Global,1/1/1918
-0.33,Feb,Global,1/1/1918
-0.47,Jan,Global,1/1/1918
-0.31,Jul,Global,1/1/1918
-0.35,Jun,Global,1/1/1918
-0.24,Mar,Global,1/1/1918
-0.42,May,Global,1/1/1918
-0.11,Nov,Global,1/1/1918
-0.05,Oct,Global,1/1/1918
-0.17,Sep,Global,1/1/1918
-0.12,Apr,Global,1/1/1919
-0.32,Aug,Global,1/1/1919
-0.41,Dec,Global,1/1/1919
-0.23,Feb,Global,1/1/1919
-0.2,Jan,Global,1/1/1919
-0.28,Jul,Global,1/1/1919
-0.35,Jun,Global,1/1/1919
-0.21,Mar,Global,1/1/1919
-0.27,May,Global,1/1/1919
-0.4,Nov,Global,1/1/1919
-0.19,Oct,Global,1/1/1919
-0.25,Sep,Global,1/1/1919
-0.23,Apr,Global,1/1/1920
-0.26,Aug,Global,1/1/1920
-0.45,Dec,Global,1/1/1920
-0.26,Feb,Global,1/1/1920
-0.24,Jan,Global,1/1/1920
-0.29,Jul,Global,1/1/1920
-0.35,Jun,Global,1/1/1920
-0.12,Mar,Global,1/1/1920
-0.26,May,Global,1/1/1920
-0.26,Nov,Global,1/1/1920
